district,state,subdivision,section,area,catdesc,catcode,total_services,billed_services,units,load
Hyderabad central,Saifabad,INDIRA PARK,Ashok nagar,BAPUJI NAGAR CHIKKADAPALLY,domestic,1,1,1.0,133,8.0
Hyderabad central,Saifabad,INDIRA PARK,Ashok nagar,NET METERING,domestic,1,68,68.0,24768,603.72
Hyderabad central,Saifabad,INDIRA PARK,Ashok nagar,NET METERING,non-domestic and commercial,2,14,14.0,9854,395.0
Hyderabad central,Saifabad,INDIRA PARK,Ashok nagar,NET METERING,general purpose,7,1,1.0,0,10.0
Hyderabad central,Saifabad,INDIRA PARK,Ashok nagar,SBI QUARTERS-II AREA,domestic,1,1,1.0,8,3.0
Hyderabad central,Saifabad,INDIRA PARK,Ashok nagar,SRT QUARTERS (SOUTH),domestic,1,1,1.0,0,4.0
Hyderabad central,Saifabad,INDIRA PARK,Gandhi nagar,NET METERING,domestic,1,64,64.0,20995,476.68
Hyderabad central,Saifabad,INDIRA PARK,Gandhi nagar,NET METERING,non-domestic and commercial,2,6,6.0,1931,129.0
Hyderabad central,Saifabad,INDIRA PARK,Gandhi nagar,NET METERING,general purpose,7,1,1.0,295,5.0
Hyderabad central,Saifabad,INDIRA PARK,Kavadiguda,NET METERING,domestic,1,59,59.0,24259,513.8
Hyderabad central,Saifabad,INDIRA PARK,Kavadiguda,NET METERING,non-domestic and commercial,2,9,9.0,3433,101.0
Hyderabad central,Saifabad,INDIRA PARK,Kavadiguda,NET METERING,general purpose,7,1,1.0,506,33.0
Hyderabad central,Saifabad,INDIRA PARK,Kavadiguda,SBI COLONY GANDHI NAGAR,non-domestic and commercial,2,2,2.0,179,18.0
Hyderabad central,Azamabad,BARKATPURA,Barkat pura,GRC HV BARKARPURA,non-domestic and commercial,2,3,3.0,1490,31.0
Hyderabad central,Azamabad,BARKATPURA,Barkat pura,K.GUDA P.S.-R.NAGAR,domestic,1,4,4.0,1346,28.0
Hyderabad central,Azamabad,BARKATPURA,Barkat pura,LINGAM PALLY,general purpose,7,1,1.0,205,3.0
Hyderabad central,Azamabad,BARKATPURA,Barkat pura,NALLA POCHAMMA TEMPLE,domestic,1,2,2.0,902,15.0
Hyderabad central,Azamabad,BARKATPURA,Barkat pura,NALLAKUNTA MAIN ROAD,domestic,1,8,8.0,3290,65.0
Hyderabad central,Azamabad,BARKATPURA,Barkat pura,NALLAKUNTA MAIN ROAD,non-domestic and commercial,2,2,2.0,749,16.0
Hyderabad central,Azamabad,BARKATPURA,Barkat pura,TULJA BAVANI CODE,domestic,1,1,1.0,517,7.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,A NAGAR MAIN ROAD,domestic,1,1,1.0,495,5.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,ACHAYA NAGAR,domestic,1,2,2.0,734,8.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,ALL COMPLEX- II,domestic,1,1,1.0,804,9.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,BRAMHAMGARI TEMPLE,domestic,1,5,5.0,1625,23.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,BUS STOP NALLAKUNTA,domestic,1,4,4.0,1272,19.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,BUS STOP NALLAKUNTA,non-domestic and commercial,2,1,1.0,314,5.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,CHARY LANE NALLAKUNTA,non-domestic and commercial,2,1,1.0,52,5.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,COMMUNITY HALL PADMA COLONY,non-domestic and commercial,2,1,1.0,395,5.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,CT METER,domestic,1,2,2.0,1598,45.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,CT METER,non-domestic and commercial,2,1,1.0,2530,50.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,CT METER,general purpose,7,2,2.0,1,97.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,HINDI MAHA VIDYALAYA,domestic,1,7,7.0,1917,27.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,MASID VIDYA NAGAR,domestic,1,4,4.0,435,17.96
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,NEW NALLAKUNTA,domestic,1,1,1.0,321,5.0
